Variable            X 
-------------------------
       W_0_0            1 
       W_0_1            1 
       W_0_2            1 
       W_0_3            1 
       W_0_4            1 
       W_0_5            1 
       W_0_6            1 
       W_0_7            1 
       W_0_8            1 
       W_1_0            1 
       W_1_7            1 
       W_2_0            1 
       W_2_8            1 
       W_3_0            1 
       W_3_7            1 
       W_4_0            1 
       W_4_8            1 
       W_5_0            1 
       W_5_7            1 
       W_6_0            1 
       W_6_8            1 
       W_7_0            1 
       W_7_7            1 
       W_8_0            1 
       W_8_1            1 
       W_8_2            1 
       W_8_3            1 
       W_8_4            1 
       W_8_5            1 
       W_8_6            1 
       W_8_7            1 
       W_8_8            1 
       B_1_1            1 
       W_1_2            1 
       B_1_3            1 
       W_1_4            1 
       B_1_5            1 
       W_1_6            1 
       W_2_1            1 
       B_2_2            1 
       W_2_3            1 
       B_2_4            1 
       B_2_5            1 
       W_2_6            1 
       W_2_7            1 
       B_3_1            1 
       W_3_2            1 
       B_3_3            1 
       B_3_4            1 
       W_3_5            1 
       W_3_6            1 
       W_4_1            1 
       B_4_2            1 
       W_4_3            1 
       B_4_4            1 
       W_4_5            1 
       W_4_6            1 
       W_4_7            1 
       W_5_1            1 
       B_5_2            1 
       W_5_3            1 
       B_5_4            1 
       W_5_5            1 
       W_5_6            1 
       W_6_1            1 
       W_6_2            1 
       B_6_3            1 
       B_6_4            1 
       B_6_5            1 
       W_6_6            1 
       B_6_7            1 
       W_7_1            1 
       W_7_2            1 
       B_7_3            1 
       B_7_4            1 
       B_7_5            1 
       B_7_6            1 




[~/Desktop/lp/prac]grep "B_" aaa.txt          [Amano@11/03 18:50:42]
       B_1_1            1
       B_1_3            1
       B_1_5            1
       B_2_2            1
       B_2_4            1
       B_2_5            1
       B_3_1            1
       B_3_3            1
       B_3_4            1
       B_4_2            1
       B_4_4            1
       B_5_2            1
       B_5_4            1
       B_6_3            1
       B_6_4            1
       B_6_5            1
       B_6_7            1
       B_7_3            1
       B_7_4            1
       B_7_5            1
       B_7_6            1
